,Segment_1,Segment_2,R1_dist,R2_dist,TSO_space
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,20
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,4
0,PB1_vRNA,PB1_vRNA,175,209,19
0,PB2_vRNA,PB2_vRNA,173,206,21
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,26
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,4
0,NS_vRNA,NS_vRNA,172,195,14
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,15
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,PB1_vRNA,PB1_vRNA,175,209,4
0,NS_vRNA,NS_vRNA,172,195,14
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,4
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,16
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,14
0,PB1_vRNA,PB1_vRNA,175,209,16
0,NS_vRNA,NS_vRNA,172,195,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,21
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PA_vRNA,PA_vRNA,172,222,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,17
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NS_vRNA,NS_vRNA,172,195,16
0,NS_vRNA,NS_vRNA,172,195,-1
0,NP_vRNA,NP_vRNA,178,216,13
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,14
0,NA_vRNA,NA_vRNA,174,193,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NS_vRNA,NS_vRNA,172,195,14
0,NS_vRNA,NS_vRNA,172,195,17
0,NA_vRNA,NA_vRNA,174,193,-1
0,PB1_vRNA,PB1_vRNA,175,209,3
0,NA_vRNA,NA_vRNA,174,193,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NA_vRNA,NA_vRNA,174,194,-1
0,PB2_vRNA,PB2_vRNA,173,206,4
0,PB1_vRNA,PB1_vRNA,175,209,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,16
0,NA_vRNA,NA_vRNA,174,193,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,14
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,33
0,NS_vRNA,NS_vRNA,172,195,14
0,NS_vRNA,NS_vRNA,172,195,3
0,PB2_vRNA,PB2_vRNA,173,206,15
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NA_vRNA,NA_vRNA,174,194,-1
0,NS_vRNA,NS_vRNA,172,195,19
0,PB1_vRNA,PB1_vRNA,175,209,3
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,26
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,16
0,NS_vRNA,NS_vRNA,172,195,12
0,NA_vRNA,NA_vRNA,174,194,-1
0,NS_vRNA,NS_vRNA,172,195,15
0,NS_vRNA,NS_vRNA,172,195,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,PB1_vRNA,PB1_vRNA,175,209,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,PA_vRNA,PA_vRNA,172,222,-1
0,NA_vRNA,NA_vRNA,174,193,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NA_vRNA,NA_vRNA,174,193,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,3
0,NS_vRNA,NS_vRNA,172,195,-1
0,PA_vRNA,PA_vRNA,172,222,4
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB2_vRNA,PB2_vRNA,173,206,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,14
0,NS_vRNA,NS_vRNA,172,195,14
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,16
0,PB2_vRNA,PB2_vRNA,173,206,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,14
0,PB1_vRNA,PB1_vRNA,175,209,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NA_vRNA,NA_vRNA,174,193,-1
0,NS_vRNA,NS_vRNA,172,194,-1
0,PB1_vRNA,PB1_vRNA,175,209,40
0,NS_vRNA,NS_vRNA,172,195,16
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,3
0,NS_vRNA,NS_vRNA,172,194,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,15
0,NS_vRNA,NS_vRNA,172,195,16
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,4
0,NS_vRNA,NS_vRNA,172,194,-1
0,NA_vRNA,NA_vRNA,174,193,15
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PA_vRNA,PA_vRNA,172,222,4
0,NS_vRNA,NS_vRNA,172,195,49
0,PA_vRNA,PA_vRNA,172,222,4
0,NS_vRNA,NS_vRNA,172,195,14
0,NS_vRNA,NS_vRNA,172,195,-1
